Timestamp,Value,Type
11:51:17 PM.28,"Cloud Temperature: 27.30\r\n",received
11:51:19 PM.75,"Temperature: 27.30°C\r\n",received
11:51:19 PM.75,"Cloud Temperature: 27.30\r\n",received
11:51:21 PM.149,"Temperature: 27.30°C\r\n",received
11:51:21 PM.149,"Cloud Temperature: 27.30\r\n",received
11:51:23 PM.200,"Temperature: 27.30°C\r\n",received
11:51:23 PM.200,"Cloud Temperature: 27.30\r\n",received
11:51:25 PM.244,"Temperature: 27.30°C\r\n",received
11:51:25 PM.244,"Cloud Temperature: 27.30\r\n",received
11:51:27 PM.296,"Temperature: 27.30°C\r\n",received
11:51:27 PM.296,"Cloud Temperature: 27.30\r\n",received
11:51:29 PM.343,"Temperature: 27.30°C\r\n",received
11:51:29 PM.343,"Cloud Temperature: 27.30\r\n",received
11:51:31 PM.386,"Temperature: 27.30°C\r\n",received
11:51:31 PM.386,"Cloud Temperature: 27.30\r\n",received
11:51:33 PM.431,"Temperature: 27.30°C\r\n",received
11:51:33 PM.431,"Cloud Temperature: 27.30\r\n",received
11:51:35 PM.498,"Temperature: 27.30°C\r\n",received
11:51:35 PM.498,"Cloud Temperature: 27.30\r\n",received
11:51:37 PM.544,"Temperature: 27.30°C\r\n",received
11:51:37 PM.544,"Cloud Temperature: 27.30\r\n",received
11:51:39 PM.601,"Temperature: 27.40°C\r\n",received
11:51:39 PM.601,"Cloud Temperature: 27.40\r\n",received
11:51:41 PM.637,"Temperature: 27.40°C\r\n",received
11:51:41 PM.637,"Cloud Temperature: 27.40\r\n",received
11:51:43 PM.697,"Temperature: 27.40°C\r\n",received
11:51:43 PM.697,"Cloud Temperature: 27.40\r\n",received
11:51:45 PM.745,"Temperature: 27.30°C\r\n",received
11:51:45 PM.745,"Cloud Temperature: 27.30\r\n",received
11:51:47 PM.809,"Temperature: 27.40°C\r\n",received
11:51:47 PM.809,"Cloud Temperature: 27.40\r\n",received
11:51:49 PM.855,"Temperature: 27.30°C\r\n",received
11:51:49 PM.855,"Cloud Temperature: 27.30\r\n",received
11:51:51 PM.899,"Temperature: 27.30°C\r\n",received
11:51:51 PM.899,"Cloud Temperature: 27.30\r\n",received
11:51:53 PM.944,"Temperature: 27.30°C\r\n",received
11:51:53 PM.944,"Cloud Temperature: 27.30\r\n",received
11:51:55 PM.992,"Temperature: 27.30°C\r\n",received
11:51:55 PM.992,"Cloud Temperature: 27.30\r\n",received
11:51:58 PM.39,"Temperature: 27.30°C\r\n",received
11:51:58 PM.39,"Cloud Temperature: 27.30\r\n",received
11:52:00 PM.96,"Temperature: 27.30°C\r\n",received
